nChains,reversible,random,execFolder,round,lowest,average
16.0,false,1,exec_5,1,4.8816855602846266E-14,0.8477083354437797
16.0,false,1,exec_5,2,0.07625275541620784,0.7988689945753613
16.0,false,1,exec_5,3,0.3494373254965107,0.7413124236064214
16.0,false,1,exec_5,4,0.4508060578061739,0.728210573320401
16.0,false,1,exec_5,5,0.6025393059046519,0.7242627336347827
16.0,false,1,exec_5,6,0.6573378120070675,0.72748710891677
16.0,false,1,exec_5,7,0.6844058057689091,0.748099927316865
16.0,false,1,exec_5,8,0.670464370082917,0.7332116663630327
4.0,true,2,exec_6,0,0.006652088348165098,NaN
4.0,true,2,exec_6,1,8.033665195836388E-96,0.17304737550513166
4.0,true,2,exec_6,2,1.5533735311321503E-9,0.2868316837746563
4.0,true,2,exec_6,3,1.9455279375751416E-27,0.12752296220532594
4.0,true,2,exec_6,4,0.015868277548173333,0.17282645886718323
4.0,true,2,exec_6,5,3.212617732882105E-7,0.1878021958151797
4.0,true,2,exec_6,6,0.02009034882460298,0.16192337287710235
4.0,true,2,exec_6,7,0.042841243188777994,0.1734758789335196
4.0,true,2,exec_6,8,0.039064834247665776,0.15420284315776642
4.0,false,2,exec_7,0,8.927887959450687E-223,0.11858801607021416
4.0,false,2,exec_7,1,2.912596095789949E-100,0.33716755772643603
4.0,false,2,exec_7,2,1.4889267651653399E-12,0.25832737076857315
4.0,false,2,exec_7,3,3.908401859377269E-5,0.27192225485982413
4.0,false,2,exec_7,4,0.02575927881281483,0.19971245768558582
4.0,false,2,exec_7,5,0.008633052986108164,0.14605641192011326
4.0,false,2,exec_7,6,0.061963069146717155,0.1623184498889681
4.0,false,2,exec_7,7,0.0832180311089253,0.15734722243410476
4.0,false,2,exec_7,8,0.05571407755040395,0.13567523237742302
16.0,true,1,exec_8,0,0.47228103524942905,0.9111543966662076
16.0,true,1,exec_8,1,4.059893982300879E-11,0.8246828896203146
16.0,true,1,exec_8,2,2.3589565569675278E-5,0.7874298336401316
16.0,true,1,exec_8,3,0.3141453684562943,0.7373943537885778
16.0,true,1,exec_8,4,0.5301129460893288,0.7269066032772065
16.0,true,1,exec_8,5,0.6058691553503583,0.7546559761719213
16.0,true,1,exec_8,6,0.5239974340240044,0.7398806186733643
16.0,true,1,exec_8,7,0.6722532988023737,0.744741831967339
16.0,true,1,exec_8,8,0.6808623965658411,0.7358382189306276
16.0,true,2,exec_9,0,5.900836702438146E-21,0.7591842071899432
16.0,true,2,exec_9,1,2.679912174163872E-13,0.7690887285522953
16.0,true,2,exec_9,2,0.4684555706289726,0.8056510374071786
16.0,true,2,exec_9,3,0.46731570375269804,0.7587994138616851
16.0,true,2,exec_9,4,0.4764710331222315,0.7130679416478151
16.0,true,2,exec_9,5,0.6159455922990129,0.7408767109454525
16.0,true,2,exec_9,6,0.656170840448332,0.734686212086128
16.0,true,2,exec_9,7,0.6923488536425073,0.7366123762555346
16.0,true,2,exec_9,8,0.6918375376341949,0.734949974721546
